AWAYTeamCreatonShooting,AwayTeamAvgGoals,AwayTeamDefencePressure,AwayTeamOdds,AwayTeamPlaySpeed,GoalDiff,HomeTeamAvgGoals,HomeTeamCreatonShooting,HomeTeamDefencePressure,HomeTeamPlaySpeed,HomeTeamsOdds,corner_away_team,corner_home_team,crosses_away_team,crosses_home_team,on_target_shot_away_team,on_target_shot_home_team,possession_away_team,possession_home_team,red_card_away_team,red_card_home_team,yellow_card_away_team,yellow_card_home_team,HomeTeamRatings,AwayTeamRatings,win
52.833333333333336,1.2452830188679245,50.833333333333336,2.6875,58.333333333333336,3.0,1.4455445544554455,55.333333333333336,48.666666666666664,51.166666666666664,2.9084999999999996,6.976190476190476,4.594936708860759,6.976190476190476,4.594936708860759,1.8333333333333333,1.3544303797468353,42.68421052631579,54.21052631578947,0.14285714285714285,0.06329113924050633,1.9761904761904763,1.379746835443038,71.09081177765191,67.517638849446,1
52.833333333333336,1.2452830188679245,50.833333333333336,2.6875,58.333333333333336,3.0,1.4455445544554455,55.333333333333336,48.666666666666664,51.166666666666664,2.9084999999999996,0.0,0.0,0.0,0.0,0.0,0.0,42.68421052631579,54.21052631578947,0.0,0.0,5.0,0.0,71.09081177765191,67.517638849446,2
52.833333333333336,1.2452830188679245,50.833333333333336,2.6875,58.333333333333336,3.0,1.4455445544554455,55.333333333333336,48.666666666666664,51.166666666666664,2.9084999999999996,0.0,0.0,0.0,0.0,0.0,0.0,42.68421052631579,54.21052631578947,0.0,0.0,2.0,1.0,71.09081177765191,67.517638849446,1
52.833333333333336,1.2452830188679245,50.833333333333336,2.6875,58.333333333333336,3.0,1.4455445544554455,55.333333333333336,48.666666666666664,51.166666666666664,2.9084999999999996,10.0,9.0,10.0,9.0,5.0,2.0,49.0,51.0,0.0,0.0,3.0,2.0,71.09081177765191,67.517638849446,0
52.833333333333336,1.2452830188679245,50.833333333333336,2.5489999999999995,58.333333333333336,3.0,1.3333333333333333,38.166666666666664,44.333333333333336,51.333333333333336,2.125666666666667,6.976190476190476,6.2272727272727275,6.976190476190476,6.2272727272727275,1.8333333333333333,1.8409090909090908,42.68421052631579,51.88235294117647,0.14285714285714285,0.045454545454545456,1.9761904761904763,1.5909090909090908,71.97645416660063,67.517638849446,0
52.833333333333336,1.2452830188679245,50.833333333333336,2.5489999999999995,58.333333333333336,3.0,1.3333333333333333,38.166666666666664,44.333333333333336,51.333333333333336,2.125666666666667,0.0,0.0,0.0,0.0,0.0,0.0,42.68421052631579,51.88235294117647,0.0,0.0,4.0,1.0,71.97645416660063,67.517638849446,0
52.833333333333336,1.2452830188679245,50.833333333333336,2.5489999999999995,58.333333333333336,3.0,1.3333333333333333,38.166666666666664,44.333333333333336,51.333333333333336,2.125666666666667,25.0,14.0,25.0,14.0,4.0,13.0,38.0,62.0,0.0,0.0,2.0,0.0,71.97645416660063,67.517638849446,0
52.833333333333336,1.2452830188679245,50.833333333333336,2.75725,58.333333333333336,0.0,1.82,69.66666666666667,49.833333333333336,53.5,3.5740000000000003,6.976190476190476,2.691358024691358,6.976190476190476,2.691358024691358,1.8333333333333333,1.5308641975308641,42.68421052631579,56.611111111111114,0.14285714285714285,0.07407407407407407,1.9761904761904763,1.3950617283950617,73.62765070908083,67.517638849446,1
52.833333333333336,1.2452830188679245,50.833333333333336,2.75725,58.333333333333336,0.0,1.82,69.66666666666667,49.833333333333336,53.5,3.5740000000000003,0.0,0.0,0.0,0.0,0.0,0.0,42.68421052631579,56.611111111111114,0.0,0.0,3.0,1.0,73.62765070908083,67.517638849446,0
52.833333333333336,1.2452830188679245,50.833333333333336,2.75725,58.333333333333336,0.0,1.82,69.66666666666667,49.833333333333336,53.5,3.5740000000000003,0.0,0.0,0.0,0.0,0.0,0.0,42.68421052631579,56.611111111111114,0.0,0.0,3.0,2.0,73.62765070908083,67.517638849446,2
52.833333333333336,1.2452830188679245,50.833333333333336,2.75725,58.333333333333336,0.0,1.82,69.66666666666667,49.833333333333336,53.5,3.5740000000000003,8.0,9.0,8.0,9.0,3.0,10.0,31.0,69.0,0.0,0.0,2.0,1.0,73.62765070908083,67.517638849446,1
52.833333333333336,1.2452830188679245,50.833333333333336,2.4425000000000003,58.333333333333336,-3.0,1.0,43.833333333333336,42.5,53.833333333333336,1.7244999999999997,23.0,9.0,23.0,9.0,4.0,4.0,54.0,46.0,0.0,0.0,2.0,1.0,68.58720706966879,67.517638849446,2
52.833333333333336,1.2452830188679245,50.833333333333336,2.83725,58.333333333333336,9.0,1.9405940594059405,54.666666666666664,54.5,46.833333333333336,3.511,6.976190476190476,3.4814814814814814,6.976190476190476,3.4814814814814814,1.8333333333333333,1.3703703703703705,42.68421052631579,62.95,0.14285714285714285,0.06172839506172839,1.9761904761904763,1.5802469135802468,74.87755410164783,67.517638849446,1
52.833333333333336,1.2452830188679245,50.833333333333336,2.83725,58.333333333333336,9.0,1.9405940594059405,54.666666666666664,54.5,46.833333333333336,3.511,6.976190476190476,3.4814814814814814,6.976190476190476,3.4814814814814814,1.8333333333333333,1.3703703703703705,42.68421052631579,62.95,0.14285714285714285,0.06172839506172839,1.9761904761904763,1.5802469135802468,74.87755410164783,67.517638849446,1
52.833333333333336,1.2452830188679245,50.833333333333336,2.83725,58.333333333333336,9.0,1.9405940594059405,54.666666666666664,54.5,46.833333333333336,3.511,0.0,0.0,0.0,0.0,0.0,0.0,42.68421052631579,62.95,1.0,0.0,3.0,2.0,74.87755410164783,67.517638849446,1
