AwayTeamAPI,AwayTeamAvgGoals,AwayTeamCreatonShooting,AwayTeamDefencePressure,AwayTeamGoals,AwayTeamOdds,AwayTeamPlaySpeed,GoalDiff,HomeTeamAPI,HomeTeamAvgGoals,HomeTeamCreatonShooting,HomeTeamDefencePressure,HomeTeamGoals,HomeTeamPlaySpeed,HomeTeamsOdds,corner_away_team,corner_home_team,crosses_away_team,crosses_home_team,on_target_shot_away_team,on_target_shot_home_team,possession_away_team,possession_home_team,red_card_away_team,red_card_home_team,yellow_card_away_team,yellow_card_home_team,HomeTeamRatings,AwayTeamRatings,win
7819,1.245283019,40,70,2,2.65075,65,-2,9831,1.173469388,65,70,2,70,1.78575,2.119047619,1.333333333,6.976190476,3.728395062,1.833333333,1.086419753,42.68421053,52.52941176,0.142857143,0.074074074,1.976190476,1.716049383,70.36986301,69.62295082,0
7819,1.245283019,40,70,4,2.65075,65,-2,9831,1.173469388,65,70,0,70,1.78575,0,0,0,0,0,0,42.68421053,52.52941176,0,0,2,2,70.36986301,69.62295082,2
7819,1.245283019,40,70,0,2.65075,65,-2,9831,1.173469388,65,70,1,70,1.78575,0,0,0,0,0,0,42.68421053,52.52941176,1,0,2,1,70.36986301,69.62295082,1
7819,1.245283019,40,70,1,2.65075,65,-2,9831,1.173469388,65,70,1,70,1.78575,9,5,13,19,8,7,46,54,0,0,1,2,70.36986301,69.62295082,0
7819,1.245283019,40,70,2,2.6995,65,12,8639,1.731958763,55,55,2,70,2.90425,2.119047619,1.12987013,6.976190476,3.961038961,1.833333333,1.467532468,42.68421053,53.31578947,0.142857143,0.025974026,1.976190476,1.363636364,73.34482759,69.62295082,0
7819,1.245283019,40,70,1,2.6995,65,12,8639,1.731958763,55,55,3,70,2.90425,0,0,0,0,0,0,42.68421053,53.31578947,0,0,2,1,73.34482759,69.62295082,1
7819,1.245283019,40,70,0,2.6995,65,12,8639,1.731958763,55,55,3,70,2.90425,0,0,0,0,0,0,42.68421053,53.31578947,0,0,4,0,73.34482759,69.62295082,1
7819,1.245283019,40,70,0,2.6995,65,12,8639,1.731958763,55,55,1,70,2.90425,6,7,17,7,2,8,44,56,0,0,1,1,73.34482759,69.62295082,1
7819,1.245283019,40,70,2,2.6025,65,1,9853,1.422680412,60,30,3,65,2.2475,2.119047619,1.425,6.976190476,4.525,1.833333333,1.2625,42.68421053,52.78947368,0.142857143,0.0125,1.976190476,1.5,72.40277778,69.62295082,1
7819,1.245283019,40,70,1,2.6025,65,1,9853,1.422680412,60,30,1,65,2.2475,2.119047619,1.425,6.976190476,4.525,1.833333333,1.2625,42.68421053,52.78947368,0.142857143,0.0125,1.976190476,1.5,72.40277778,69.62295082,0
